# UPDATED 20180214

#X                  , total  , push/pop  ,  load/store   ,   mov(w)   ,   vm+other
4                   , 131.6  ,      8.7  ,        78.5   ,      1.6   ,       42.8
5                   , 115.4  ,      7.9  ,        62.3   ,      3.0   ,       42.3
6                   , 101.5  ,      6.7  ,        48.9   ,      3.9   ,       41.9
7                   ,  92.0  ,      6.4  ,        39.3   ,      4.4   ,       41.9
8                   ,  84.1  ,      5.8  ,        31.0   ,      5.4   ,       41.9
9                   ,  78.6  ,      5.5  ,        25.0   ,      6.2   ,       41.9
10                  ,  72.8  ,      5.0  ,        19.5   ,      6.3   ,       41.9
11                  ,  71.2  ,      4.4  ,        18.4   ,      6.4   ,       41.9



                    
                    
                    
                    
                    
                    
                    
                    
                    
