#UDPATED 20180327

#exec  ,  cyc/exec        ,  label x    ,  label y    ,                           method
    1  ,   2863290        ,             ,             , 
    2  ,   1430135        ,             ,             , 
    3  ,    811056        ,             ,             , 
  223  ,     10428        ,   223       ,     20000   , calc\\_func
    4  ,    316801        ,             ,             , 
    4  ,    250912        ,             ,             , 
 1024  ,       756        ,  1024       ,      2000   , core\\_state\\_transition
  292  ,       707        ,   292       ,      1200   , crcu16
  206  ,       929        ,   206       ,      3500   , core\\_list\\_find
 3920  ,        39        ,  3920       ,        70   , ee\\_isdigit
   16  ,      7042        ,             ,             , 
   64  ,      1545        ,             ,             , 
    8  ,      3438        ,             ,             , 
